"Player","Team","Points","Cost"
"Riedewald","Crystal Palace",3,"£4.3"
"Onomah","Fulham",1,"£4.3"
"Gyabi","Leeds",0,"£4.3"
"Mendy","Leicester",5,"£4.3"
"Palmer","Manchester City",7,"£4.3"
"Pellistri","Manchester Utd",0,"£4.3"
"Murphy","Newcastle",29,"£4.3"
"Arter","Nottingham Forest",0,"£4.3"
"Cafú","Nottingham Forest",1,"£4.3"
"Diallo","Southampton",11,"£4.3"
"Skipp","Tottenham",6,"£4.3"
"Sarr","Tottenham",0,"£4.3"
"Devine","Tottenham",0,"£4.3"
"Downes","West Ham",10,"£4.3"
"Iqbal","Manchester Utd",0,"£4.3"
"Hammond","Nottingham Forest",0,"£4.3"
"Garnacho","Manchester Utd",3,"£4.3"
"Elneny","Arsenal",3,"£4.2"
"Dasilva","Brentford",30,"£4.2"
"Ebiowei","Crystal Palace",2,"£4.2"
"Colback","Nottingham Forest",4,"£4.2"
"Haaland","Manchester City",122,"£12.1"
"Kane","Tottenham",91,"£11.6"
"Ronaldo","Manchester Utd",20,"£10.2"
"Vardy","Leicester",39,"£9.1"
"Darwin","Liverpool",31,"£8.9"
"Diogo Jota","Liverpool",8,"£8.8"
"Aubameyang","Chelsea",15,"£8.8"
"Richarlison","Tottenham",19,"£8.4"
"Firmino","Liverpool",63,"£8.1"
"Jesus","Arsenal",67,"£8.0"
"Werner","Chelsea",0,"£7.9"
"Calvert-Lewin","Everton",15,"£7.9"
"Havertz","Chelsea",36,"£7.7"
"Wilson","Newcastle",54,"£7.5"
"Toney","Brentford",70,"£7.4"
"Bamford","Leeds",17,"£7.2"
"Watkins","Aston Villa",46,"£7.1"
"Antonio","West Ham",32,"£7.0"
"Mitrović","Fulham",61,"£6.9"
"Jiménez","Wolves",5,"£6.8"
"Martial","Manchester Utd",19,"£6.7"
"Scamacca","West Ham",29,"£6.7"
"Isak","Newcastle",18,"£6.7"
"Ings","Aston Villa",33,"£6.6"
"Nketiah","Arsenal",12,"£6.5"
"Welbeck","Brighton",36,"£6.5"
"Adams","Southampton",42,"£6.4"
"Maupay","Everton",20,"£6.1"
"Iheanacho","Leicester",18,"£6.1"
"Álvarez","Manchester City",31,"£6.0"
"Mbeumo","Brentford",44,"£5.8"
"Dennis","Nottingham Forest",19,"£5.8"
"Solanke","Bournemouth",52,"£5.7"
"Daka","Leicester",34,"£5.7"
"Awoniyi","Nottingham Forest",37,"£5.7"
"Wood","Newcastle",20,"£5.6"
"Johnson","Nottingham Forest",33,"£5.6"
"Benteke","Crystal Palace",0,"£5.5"
"A.Armstrong","Southampton",32,"£5.5"
"Fabio Silva","Wolves",0,"£5.5"
"Vinícius","Fulham",9,"£5.5"
"Diego Costa","Wolves",7,"£5.5"
"Davis","Aston Villa",0,"£5.4"
"Moore","Bournemouth",36,"£5.4"
"Edouard","Crystal Palace",38,"£5.4"
"Muniz","Fulham",0,"£5.4"
"Broja","Chelsea",19,"£5.3"
"Mara","Southampton",12,"£5.3"
"Kalajdžić","Wolves",1,"£5.3"
"Mateta","Crystal Palace",13,"£5.2"
"Undav","Brighton",7,"£5.1"
"Gelhardt","Leeds",12,"£5.1"
"Rondón","Everton",7,"£5.0"
"Gnonto","Leeds",5,"£5.0"
"Enciso","Brighton",3,"£4.7"
"Surridge","Nottingham Forest",7,"£4.7"
"Forss","Brentford",0,"£4.5"
"Stansfield","Fulham",7,"£4.5"
"Gayle","Newcastle",0,"£4.5"
"Scarlett","Tottenham",0,"£4.5"
"Parrott","Tottenham",0,"£4.5"
"Plange","Crystal Palace",0,"£4.5"
